N,Time(ms),FLOPS
1,0.001,2000000.000
2,0.000,inf
3,0.000,inf
4,0.001,128000000.000
5,0.001,250000000.000
6,0.001,432000000.000
7,0.001,686000000.000
8,0.002,512000000.000
9,0.016,91125000.000
10,0.003,666666666.667
11,0.005,532400000.000
12,0.006,576000000.000
13,0.008,549250000.000
14,0.009,609777777.778
15,0.012,562500000.000
16,0.014,585142857.143
17,0.017,578000000.000
18,0.022,530181818.182
19,0.026,527615384.615
20,0.030,533333333.333
21,0.034,544764705.882
22,0.039,546051282.051
23,0.045,540755555.556
24,0.050,552960000.000
25,0.056,558035714.286
26,0.062,566967741.935
27,0.070,562371428.571
28,0.077,570181818.182
29,0.086,567186046.512
30,0.094,574468085.106
31,0.094,633851063.830
32,0.122,537180327.869
33,0.123,584341463.415
34,0.137,573781021.898
35,0.147,583333333.333
36,0.158,590582278.481
37,0.172,588988372.093
38,0.185,593210810.811
39,0.198,599181818.182
40,0.216,592592592.593
41,0.231,596718614.719
42,0.247,599902834.008
43,0.265,600052830.189
44,0.282,604141843.972
45,0.301,605481727.575
46,0.302,644609271.523
47,0.343,605381924.198
48,0.362,611005524.862
49,0.386,609580310.881
50,0.386,647668393.782
51,0.448,592191964.286
52,0.461,610013015.184
53,0.459,648701525.054
54,0.524,601007633.588
55,0.594,560185185.185
56,0.582,603491408.935
57,0.602,615259136.213
58,0.600,650373333.333
59,0.663,619544494.721
60,0.702,615384615.385
61,0.764,594191099.476
62,0.773,616631306.598
63,0.807,619695167.286
64,0.836,627138755.981
65,0.883,622027180.068
66,0.926,620941684.665
67,1.002,600325349.301
68,1.030,610547572.816
69,1.060,619828301.887
70,1.113,616352201.258
71,1.145,625172052.402
72,1.196,624160535.117
73,1.313,592562071.592
74,1.306,620557427.259
75,1.446,583506224.066
76,1.371,640373450.036
77,1.458,626245541.838
78,1.524,622771653.543
79,1.577,625287254.280
80,1.641,624009750.152
81,1.722,617236933.798
82,1.757,627624359.704
83,1.812,631111479.029
84,1.876,631880597.015
85,1.989,617521367.521
86,1.992,638610441.767
87,1.992,661147590.361
88,2.133,638979840.600
89,2.270,621118061.674
90,2.359,618058499.364
91,2.384,632190436.242
92,2.478,628481033.091
93,2.535,634601183.432
94,2.651,626619388.910
95,2.731,627883559.136
96,2.847,621521601.686
97,2.908,627698074.278
98,2.879,653832580.757
99,2.956,656494587.280
100,3.201,624804748.516
101,3.308,622914752.116
102,3.376,628677725.118
103,3.451,633281367.720
104,3.536,636235294.118
105,3.671,630686461.455
106,3.761,633350704.600
107,3.832,639375260.960
108,3.851,654225915.347
109,3.992,648812124.248
110,4.097,649743714.913
111,4.181,654212389.381
112,4.309,652090044.094
113,4.558,633127248.793
114,4.660,635855793.991
115,4.788,635286131.997
116,4.923,634123908.186
117,5.011,639238874.476
118,5.134,640059213.089
119,5.303,635549311.710
120,5.357,645137203.659
121,5.468,647974030.724
122,5.572,651776022.972
123,5.783,643564585.855
124,5.945,641421026.072
125,7.416,526732740.022
126,9.356,427613510.047
127,7.371,555795143.128
128,7.332,572054555.374
129,6.837,627962264.151
130,7.298,602082762.401
131,6.930,648799711.400
132,7.121,645967701.166
133,7.206,652966139.328
134,7.423,648283443.352
135,7.499,656187491.666
136,7.971,631151925.731
137,7.882,652462065.466
138,8.050,652937142.857
139,8.240,651849271.845
140,8.401,653255564.814
141,8.571,654117605.880
142,8.768,653122262.774
143,9.104,642400483.304
144,9.292,642699956.952
145,9.531,639728255.167
146,9.689,642406027.454
147,9.940,639139436.620
148,10.092,642447879.509
149,10.327,640640844.388
150,10.454,645685861.871
151,12.835,536494117.647
152,11.187,627837311.165
153,11.263,635989878.363
154,11.375,642156307.692
155,11.554,644603600.485
156,11.741,646693808.023
157,11.974,646382662.435
158,12.224,645339005.236
159,12.674,634318920.625
160,12.875,636271844.660
161,12.947,644671506.913
162,13.212,643585831.063
163,13.488,642162959.668
164,13.687,644545042.741
165,14.159,634525743.343
166,14.170,645631051.517
167,14.355,648897666.318
168,14.671,646395201.418
169,14.999,643617441.163
170,15.328,641049060.543
171,15.557,642824580.575
172,15.876,641023935.500
173,16.086,643754444.859
174,16.600,634701686.747
175,16.677,642726509.564
176,16.905,644989766.341
177,17.587,630605902.087
178,17.506,644322175.254
179,17.909,640497961.919
180,18.097,644526717.135
181,18.699,634230814.482
182,18.937,636697259.334
183,19.112,641323461.699
184,19.269,646583008.978
185,19.622,645359800.224
186,20.012,643099740.156
187,20.293,644478687.232
188,20.701,641966281.822
189,21.430,630076434.904
190,21.569,636005378.089
191,21.664,643267263.663
192,22.137,639462257.759
193,23.240,618679604.131
194,22.724,642614328.463
195,23.279,637044117.015
196,23.768,633585997.980
197,23.815,642063657.359
198,24.164,642475749.048
199,24.499,643340462.876
200,25.172,635626887.017
201,26.006,624517495.962
202,27.393,601789362.246
203,26.400,633744469.697
204,28.397,597926823.256
205,26.897,640601182.288
206,27.544,634752831.833
207,27.728,639767960.185
208,28.045,641748047.780
209,28.339,644294364.656
210,28.835,642344373.158
211,29.388,639303865.523
212,29.894,637460895.163
213,30.086,642398258.326
214,30.741,637607364.757
215,30.980,641599418.980
216,31.264,644683725.691
217,31.901,640626500.737
218,32.267,642156506.648
219,32.451,647342701.304
220,32.925,646803340.926
221,33.229,649665111.800
222,33.584,651563125.298
223,34.474,643358299.008
224,34.956,643061219.819
225,35.475,642177589.852
226,36.074,639972057.437
227,36.281,644804884.099
228,36.699,645922341.208
229,37.342,643189384.607
230,38.172,637482971.812
231,38.174,645800335.307
232,38.635,646417393.555
233,39.362,642718205.376
234,40.303,635828796.864
235,40.613,639099549.405
236,40.946,642028818.444
237,41.592,640125649.163
238,42.097,640486115.400
239,42.740,638835704.258
240,43.134,640979273.891
241,43.826,638777027.335
242,44.038,643648122.076
243,45.289,633659696.615
244,45.245,642138755.664
245,46.437,633379632.621
246,46.310,642925329.303
247,47.130,639474771.907
248,47.587,641057095.425
249,53.008,582487511.319
250,48.721,641407196.076
251,50.789,622703774.439
252,50.707,631195219.595
253,52.196,620517932.409
254,52.124,628772312.179
255,51.682,641669246.546
256,51.775,648081738.291
257,52.733,643793943.072
258,53.634,640396464.929
259,54.150,641698208.680
260,54.721,642385921.310
261,55.485,640878832.117
262,55.959,642782322.772
263,56.559,643273289.839
264,57.982,634670897.865
265,57.835,643541972.854
266,58.511,643335304.473
267,59.362,641291162.697
268,60.372,637674153.581
269,60.655,641830319.017
270,60.960,645767716.535
271,61.826,643823342.930
272,62.170,647374875.342
273,63.194,643935088.774
274,63.474,648165359.045
275,64.961,640288018.965
276,65.487,642099225.801
277,66.230,641821923.600
278,66.349,647634538.576
279,68.894,630465323.541
280,68.019,645466707.832
281,69.576,637807318.616
282,69.641,644039229.764
283,70.132,646357925.056
284,70.891,646240115.106
285,71.746,645307752.349
286,72.475,645564843.049
287,73.038,647331608.204
288,73.826,647139815.241
289,74.790,645475839.016
290,75.331,647515631.015
291,76.967,640330817.103
292,77.433,643061433.756
293,79.200,635195883.838
294,78.545,647073244.637
295,79.222,648112266.795
296,80.560,643851439.921
297,80.811,648378884.063
298,86.396,612611509.792
299,83.688,638822746.391
300,84.149,641718855.839
301,85.348,639051905.141
302,85.222,646396658.140
303,85.736,648925235.607
304,86.869,646823700.054
305,90.146,629481618.707
306,88.325,648799682.989
307,89.359,647599973.142
308,90.650,644635675.676
309,90.959,648723688.695
310,92.237,645966369.244
311,92.736,648728239.303
312,96.455,629751241.512
313,98.909,620050693.061
314,95.896,645681655.126
315,98.505,634604842.394
316,104.424,604353328.737
317,102.476,621706799.641
318,101.633,632814774.729
