N,Time(ms),FLOPS
1,0.001,2000000.000
2,0.000,inf
3,0.000,inf
4,0.001,128000000.000
5,0.001,250000000.000
6,0.001,432000000.000
7,0.001,686000000.000
8,0.002,512000000.000
9,0.003,486000000.000
10,0.003,666666666.667
11,0.004,665500000.000
12,0.006,576000000.000
13,0.007,627714285.714
14,0.009,609777777.778
15,0.011,613636363.636
16,0.014,585142857.143
17,0.015,655066666.667
18,0.018,648000000.000
19,0.021,653238095.238
20,0.025,640000000.000
21,0.028,661500000.000
22,0.032,665500000.000
23,0.037,657675675.676
24,0.042,658285714.286
25,0.047,664893617.021
26,0.053,663245283.019
27,0.059,667220338.983
28,0.066,665212121.212
29,0.074,659162162.162
30,0.081,666666666.667
31,0.104,572903846.154
32,0.098,668734693.878
33,0.109,659394495.413
34,0.118,666169491.525
35,0.129,664728682.171
36,0.139,671309352.518
37,0.163,621509202.454
38,0.163,673276073.620
39,0.176,674079545.455
40,0.191,670157068.063
41,0.206,669135922.330
42,0.233,635948497.854
43,0.236,673788135.593
44,0.254,670740157.480
45,0.272,670036764.706
46,0.296,657675675.676
47,0.311,667672025.723
48,0.331,668229607.251
49,0.350,672280000.000
50,0.380,657894736.842
51,0.395,671650632.911
52,0.463,607377969.762
53,0.466,638957081.545
54,0.488,645344262.295
55,0.494,673582995.951
56,0.554,633992779.783
57,0.743,498500672.948
58,0.616,633480519.481
59,0.633,648906793.049
60,0.638,677115987.461
61,0.688,659828488.372
62,0.815,584853987.730
63,0.768,651164062.500
64,0.806,650481389.578
65,0.831,660950661.853
66,1.095,525106849.315
67,1.270,473642519.685
68,0.999,629493493.493
69,0.995,660319597.990
70,1.061,646559849.199
71,1.087,658529898.804
72,1.243,600559935.640
73,1.314,592111111.111
74,1.205,672570954.357
75,1.258,670707472.178
76,1.319,665619408.643
77,1.342,680377049.180
78,1.456,651857142.857
79,1.469,671257998.639
80,1.555,658520900.322
81,1.570,676994904.459
82,1.641,671990249.848
83,1.716,666418414.918
84,1.752,676602739.726
85,1.838,668253536.453
86,1.915,664288250.653
87,1.993,660815855.494
88,2.035,669751351.351
89,2.101,671079485.959
90,2.212,659132007.233
91,2.234,674638316.920
92,2.316,672442141.623
93,2.421,664483271.375
94,2.459,675546156.974
95,2.597,660281093.570
96,2.624,674341463.415
97,2.770,658969675.090
98,2.867,656569236.135
99,2.915,665728301.887
100,3.081,649139889.646
101,3.092,666430142.303
102,3.236,655876390.606
103,3.262,669973635.806
104,3.430,655897376.093
105,3.453,670503909.644
106,3.558,669486228.218
107,3.697,662722748.174
108,3.865,651856144.890
109,3.930,659047837.150
110,4.013,663344131.572
111,4.299,636255408.234
112,4.538,619183781.401
113,4.306,670179749.187
114,4.434,668265223.275
115,4.601,661106281.243
116,4.663,669481449.710
117,4.892,654788634.505
118,4.975,660515376.884
119,5.038,668979356.888
120,5.474,631348191.450
121,5.356,661523898.432
122,5.463,664780523.522
123,5.592,665546137.339
124,6.392,596565707.134
125,6.553,596101022.432
126,6.598,606358290.391
127,6.480,632216975.309
128,6.819,615090775.774
129,7.286,589264068.076
130,7.201,610193028.746
131,7.180,626209192.201
132,7.538,610232953.038
133,7.255,648556030.324
134,7.479,643429335.473
135,7.470,658734939.759
136,7.513,669627578.863
137,7.702,667710464.814
138,7.864,668380467.955
139,8.141,659776194.571
140,8.221,667558691.157
141,8.402,667274696.501
142,8.670,660504728.950
143,8.796,664894724.875
144,9.182,650399477.238
145,9.138,667241190.633
146,9.579,649783067.126
147,9.489,669516914.322
148,9.663,670970092.104
149,10.008,661060951.239
150,10.361,651481517.228
151,10.275,670160778.589
152,10.479,670256322.168
153,10.796,663500741.015
154,10.916,669157933.309
155,11.131,669099811.338
156,11.398,666154763.994
157,11.622,665959903.631
158,11.819,667452745.579
159,12.054,666945246.391
160,12.391,661125010.088
161,12.421,671971821.914
162,12.684,670376537.370
163,12.988,666884354.789
164,13.550,651061845.018
165,13.466,667180305.956
166,13.715,667050091.141
167,13.966,666971645.425
168,14.396,658742984.162
169,14.460,667608437.068
170,14.996,655241397.706
171,15.056,664215063.762
172,17.088,595558052.434
173,16.079,644034703.651
174,16.266,647734415.345
175,16.336,656142874.633
176,17.132,636443614.289
177,16.716,663464106.246
178,17.150,657697026.239
179,17.572,652781584.339
180,17.665,660288706.482
181,17.793,666525150.340
182,18.262,660230861.899
183,18.500,662539135.135
184,20.155,618159662.615
185,20.894,606071120.896
186,19.478,660730670.500
187,20.029,652973488.442
188,19.965,665632056.098
189,20.244,666989626.556
190,20.732,661682423.307
191,20.995,663764801.143
192,21.198,667788281.913
193,21.953,654949847.401
194,22.007,663551051.938
195,22.369,662959899.861
196,22.796,660601509.037
197,23.007,664612770.027
198,23.500,660629106.383
199,23.728,664244689.818
200,24.098,663955514.980
201,24.817,654438570.335
202,24.808,664495969.042
203,25.090,666833559.187
204,25.542,664761099.366
205,26.185,658019858.698
206,26.353,663439911.964
207,26.746,663257533.837
208,27.397,656926816.805
209,27.511,663685725.710
210,28.485,650236966.825
211,28.566,657700133.025
212,28.815,661331112.268
213,29.193,662048915.836
214,29.754,658758082.947
215,30.026,661984613.335
216,30.319,664777598.206
217,31.065,657866602.286
218,31.138,665439784.187
219,31.758,661468543.359
220,32.140,662601120.100
221,32.628,661631788.648
222,33.187,659357459.246
223,33.630,659504430.568
224,34.120,658817350.528
225,34.425,661764705.882
226,34.881,661860382.443
227,35.652,656181027.712
228,35.828,661625097.689
229,36.273,662144790.891
230,37.070,656433773.941
231,37.475,657846084.056
232,37.942,658224026.145
233,38.268,661092139.647
234,45.423,564159302.556
235,39.367,659327609.419
236,40.151,654741152.151
237,40.217,662011239.028
238,40.692,662600609.456
239,41.381,659815809.188
240,41.650,663817527.011
241,42.499,658722369.938
242,43.467,652103342.766
243,43.483,659977784.421
244,44.484,653123999.640
245,44.607,659364001.166
246,45.007,661538693.981
247,45.661,660047874.554
248,46.199,660316976.558
249,47.286,652973353.635
250,47.519,657631684.168
251,49.463,639397165.558
252,48.601,658546449.662
253,49.247,657675675.676
254,51.129,641008586.125
255,50.660,654614093.960
256,50.596,663183492.766
257,51.711,656517684.825
258,51.984,660722991.690
259,53.353,651284051.506
260,53.448,657685975.153
261,53.631,663033730.492
262,54.448,660620334.999
263,55.183,659313447.982
264,55.995,657192392.178
265,56.535,658339966.393
266,57.149,658667553.238
267,57.906,657415915.449
268,58.981,652712975.365
269,59.499,654300374.796
270,60.228,653616258.219
271,60.578,657087094.325
272,60.712,662921597.048
273,68.361,595263878.527
274,62.668,656501691.453
275,62.903,661236348.028
276,63.769,659398014.709
277,64.278,661312828.651
278,65.166,659391461.805
279,65.627,661850732.168
280,66.933,655939521.611
281,67.214,660220817.092
282,67.951,660057041.103
283,69.535,651907298.483
284,69.456,659591799.125
285,71.104,651134254.050
286,70.391,664677472.972
287,71.391,662265635.724
288,72.307,660734700.651
289,73.267,658893335.335
290,74.250,656942760.943
291,74.497,661561432.004
292,75.441,660041303.800
293,81.367,618279081.200
294,80.869,628477760.328
295,77.871,659356499.852
296,79.145,655362587.656
297,79.195,661609268.262
298,80.586,656778894.597
299,80.826,661443075.248
300,83.118,649678769.942
301,82.570,660552282.911
302,83.625,658740998.505
303,84.489,658502929.375
304,101.907,551374567.007
305,89.054,637200462.641
306,86.954,659029279.849
307,88.892,651002182.424
308,89.385,653758729.093
309,91.122,647563244.880
310,90.071,661500371.929
311,94.626,635770950.901
312,92.057,659837448.537
313,92.641,662002720.178
314,94.497,655240780.131
315,94.722,659949642.111
316,95.715,659342757.144
317,98.974,643704669.913
318,100.807,637999980.160
