N,Time(ms),FLOPS
1,0.001,2000000.000
2,0.000,inf
3,0.001,54000000.000
4,0.001,128000000.000
5,0.001,250000000.000
6,0.001,432000000.000
7,0.002,343000000.000
8,0.002,512000000.000
9,0.003,486000000.000
10,0.004,500000000.000
11,0.005,532400000.000
12,0.005,691200000.000
13,0.008,549250000.000
14,0.009,609777777.778
15,0.011,613636363.636
16,0.013,630153846.154
17,0.017,578000000.000
18,0.022,530181818.182
19,0.026,527615384.615
20,0.030,533333333.333
21,0.035,529200000.000
22,0.039,546051282.051
23,0.044,553045454.545
24,0.051,542117647.059
25,0.056,558035714.286
26,0.063,557968253.968
27,0.070,562371428.571
28,0.078,562871794.872
29,0.086,567186046.512
30,0.094,574468085.106
31,0.095,627178947.368
32,0.114,574877192.982
33,0.124,579629032.258
34,0.134,586626865.672
35,0.146,587328767.123
36,0.158,590582278.481
37,0.172,588988372.093
38,0.186,590021505.376
39,0.199,596170854.271
40,0.213,600938967.136
41,0.230,599313043.478
42,0.246,602341463.415
43,0.266,597796992.481
44,0.298,571704697.987
45,0.302,603476821.192
46,0.302,644609271.523
47,0.345,601872463.768
48,0.366,604327868.852
49,0.401,586778054.863
50,0.386,647668393.782
51,0.436,608490825.688
52,0.472,595796610.169
53,0.465,640331182.796
54,0.518,607969111.969
55,0.543,612799263.352
56,0.576,609777777.778
57,0.605,612208264.463
58,0.603,647137645.108
59,0.667,615829085.457
60,0.702,615384615.385
61,0.738,615124661.247
62,0.776,614247422.680
63,0.857,583540256.709
64,0.841,623410225.922
65,0.886,619920993.228
66,0.927,620271844.660
67,0.966,622697722.567
68,1.010,622637623.762
69,1.055,622765876.777
70,1.110,618018018.018
71,1.162,616025817.556
72,1.195,624682845.188
73,1.274,610701726.845
74,1.300,623421538.462
75,1.350,625000000.000
76,1.406,624432432.432
77,1.461,624959616.701
78,1.527,621548133.595
79,1.585,622131230.284
80,1.623,630930375.847
81,1.710,621568421.053
82,1.757,627624359.704
83,1.821,627992311.917
84,1.881,630200956.938
85,2.220,553265765.766
86,1.982,641832492.432
87,2.029,649091177.920
88,2.095,650569928.401
89,2.282,617851884.312
90,2.349,620689655.172
91,2.433,619458281.956
92,2.513,619727815.360
93,2.838,566847780.127
94,2.702,614792005.922
95,2.768,619490606.936
96,2.858,619129461.162
97,2.825,646140176.991
98,2.977,632309035.942
99,2.965,654501854.975
100,3.088,647668393.782
101,3.259,632280454.127
102,3.406,623140340.575
103,3.477,628545872.879
104,3.553,633191106.108
105,3.696,626420454.545
106,3.853,618227874.384
107,3.859,634901788.028
108,3.929,641237974.039
109,3.972,652079053.374
110,4.205,633055885.850
111,4.186,653430960.344
112,4.417,636145800.317
113,4.940,584168825.911
114,4.838,612461347.664
115,4.935,616362715.299
116,5.617,555775680.968
117,5.947,538628888.515
118,5.364,612614466.816
119,6.784,496803950.472
120,5.455,633547204.400
121,5.563,636908502.607
122,7.782,466679002.827
123,8.131,457721559.464
124,6.395,596285848.319
125,6.483,602537405.522
126,6.288,636251908.397
127,6.291,651210618.344
128,6.471,648169371.040
129,6.817,629804606.132
130,6.720,653869047.619
131,7.091,634068819.631
132,7.054,652103203.856
133,7.203,653238095.238
134,7.386,651531004.603
135,7.570,650033025.099
136,7.731,650745311.085
137,8.002,642677580.605
138,8.083,650271433.874
139,8.290,647917732.207
140,10.121,542238909.199
141,10.308,543892316.647
142,10.508,544972972.973
143,10.852,538924990.785
144,10.241,583143052.436
145,10.561,577336426.475
146,10.713,581001773.546
147,11.056,574624276.411
148,10.082,643085102.162
149,10.562,626386858.550
150,10.535,640721404.841
151,10.752,640429873.512
152,11.063,634874446.353
153,11.246,636951271.563
154,11.421,639569915.069
155,11.575,643434125.270
156,11.730,647300255.754
157,12.107,639281903.031
158,12.250,643969306.122
159,12.507,642788678.340
160,12.838,638105623.929
161,13.042,639975617.237
162,13.509,629436375.750
163,13.586,637530840.571
164,13.762,641032408.080
165,14.009,641319865.801
166,14.311,639269932.220
167,14.579,638927635.640
168,15.069,629322715.509
169,15.218,634355237.219
170,15.278,643147008.771
171,15.592,641381605.952
172,15.854,641913460.325
173,16.176,640172725.025
174,16.641,633137912.385
175,16.750,639925373.134
176,17.066,638904957.225
177,17.301,641030345.067
178,17.756,635250281.595
179,17.887,641285738.246
180,18.127,643460031.996
181,18.509,640741369.064
182,24.028,501795238.888
183,19.323,634320447.136
184,19.668,633465934.513
185,20.263,624944480.087
186,20.436,629756899.589
187,21.098,619888425.443
188,20.774,639710407.240
189,21.379,631579493.896
190,22.872,599772647.779
191,29.913,465875773.075
192,22.151,639058101.214
193,22.557,637412510.529
194,22.833,639546621.119
195,23.250,637838709.677
196,23.492,641029797.378
197,24.091,634707816.197
198,24.125,643514362.694
199,24.550,642003991.853
200,25.115,637069480.390
201,25.295,642071634.710
202,26.030,633300653.093
203,26.234,637754593.276
204,26.672,636597480.504
205,27.244,632442005.579
206,29.671,589249839.911
207,31.057,571191229.030
208,28.627,628701016.523
209,28.555,639420696.901
210,29.064,637283236.994
211,29.592,634896661.260
212,29.822,638999932.935
213,30.577,632082741.930
214,30.623,640064265.421
215,31.318,634674947.315
216,31.767,634475776.749
217,32.013,638385218.505
218,32.547,636632070.544
219,32.367,649022708.314
220,35.872,593666369.313
221,34.128,632551629.161
222,33.814,647131247.412
223,34.796,637404701.690
224,35.677,630065532.416
225,35.805,636258902.388
226,36.282,636303180.641
227,36.782,636022130.390
228,37.283,635804629.456
229,37.453,641283154.887
230,37.922,641685565.107
231,38.722,636660864.625
232,39.247,636337452.544
233,40.013,632261365.056
234,40.400,634302178.218
235,40.769,636654075.400
236,41.340,635909820.997
237,41.637,639433820.880
238,42.542,633786469.842
239,42.677,639778756.707
240,43.336,637991508.215
241,43.782,639418984.971
242,44.290,639985911.041
243,45.309,633379990.730
244,45.502,638511889.587
245,46.325,634910955.208
246,46.743,636969642.513
247,47.444,635242517.494
248,47.850,637533625.914
249,48.538,636130413.284
250,49.628,629684855.324
251,51.319,616272764.473
252,53.795,594962654.522
253,52.427,617783851.832
254,52.709,621793773.359
255,52.412,632732007.937
256,52.524,638839996.954
257,53.473,634884633.366
258,54.587,629216187.004
259,55.485,626258592.412
260,54.940,639825263.924
261,55.794,637329497.795
262,57.145,629441875.930
263,56.822,640295906.515
264,57.845,636174051.344
265,58.362,637730886.536
266,59.405,633653598.182
267,59.532,639459887.120
268,60.402,637357438.495
269,64.170,606673180.614
270,62.017,634761436.380
271,62.912,632709530.773
272,62.955,639302612.978
273,63.516,640670602.683
274,64.705,635834139.556
275,67.047,620367055.946
276,69.254,607172899.760
277,66.110,642986930.873
278,67.597,635677678.003
279,67.899,639704237.176
280,68.750,638603636.364
281,69.325,640116581.320
282,70.752,633926051.560
283,71.508,633920316.608
284,71.373,641875891.444
285,73.334,631334033.327
286,74.573,627402840.170
287,73.613,642275223.126
288,74.433,641862399.742
289,75.125,642597510.815
290,76.010,641731351.138
291,77.848,633084241.085
292,77.946,638829138.121
293,78.497,640884543.358
294,79.802,636880880.178
295,80.412,638520991.892
296,81.525,636230260.656
297,81.912,639663858.775
298,82.853,638808299.036
299,83.967,636700108.376
300,84.857,636364707.685
301,85.536,637647329.779
302,86.118,639671334.680
303,86.652,642065434.150
304,87.770,640183752.991
305,88.315,642532412.387
306,89.428,640797423.626
307,90.531,639216246.369
308,91.479,638793865.259
309,91.740,643200981.033
310,97.305,612322080.058
311,93.365,644357757.190
312,94.505,642745420.877
313,95.697,640862242.286
314,96.711,640240386.306
315,102.011,612794208.468
316,99.366,635116558.984
317,100.708,632621301.188
