N,Time(ms),FLOPS
1,0.001,2000000.000
2,0.000,inf
3,0.000,inf
4,0.000,inf
5,0.001,250000000.000
6,0.001,432000000.000
7,0.002,343000000.000
8,0.003,341333333.333
9,0.004,364500000.000
10,0.004,500000000.000
11,0.006,443666666.667
12,0.007,493714285.714
13,0.009,488222222.222
14,0.011,498909090.909
15,0.013,519230769.231
16,0.016,512000000.000
17,0.019,517157894.737
18,0.022,530181818.182
19,0.026,527615384.615
20,0.030,533333333.333
21,0.034,544764705.882
22,0.039,546051282.051
23,0.046,529000000.000
24,0.044,628363636.364
25,0.046,679347826.087
26,0.052,676000000.000
27,0.063,624857142.857
28,0.097,452618556.701
29,0.111,439441441.441
30,0.127,425196850.394
31,0.136,438102941.176
32,0.152,431157894.737
33,0.168,427821428.571
34,0.206,381592233.010
35,0.198,433080808.081
36,0.204,457411764.706
37,0.241,420356846.473
38,0.252,435492063.492
39,0.272,436169117.647
40,0.303,422442244.224
41,0.310,444651612.903
42,0.339,437097345.133
43,0.374,425171122.995
44,0.386,441367875.648
45,0.436,418004587.156
46,0.363,536286501.377
47,0.314,661292993.631
48,0.322,686906832.298
49,0.333,706600600.601
50,0.446,560538116.592
51,0.383,692694516.971
52,0.403,697806451.613
53,0.429,694065268.065
54,0.450,699840000.000
55,0.474,702004219.409
56,0.503,698274353.877
57,0.527,702819734.345
58,0.562,694348754.448
59,0.584,703352739.726
60,0.639,676056338.028
61,0.732,620166666.667
62,0.716,665720670.391
63,0.765,653717647.059
64,0.800,655360000.000
65,1.227,447636511.817
66,1.286,447116640.747
67,1.380,435888405.797
68,1.281,490916471.507
69,0.945,695257142.857
70,1.025,669268292.683
71,1.053,679792972.460
72,1.071,697008403.361
73,1.152,675376736.111
74,1.156,701079584.775
75,1.401,602248394.004
76,1.288,681639751.553
77,1.409,648024130.589
78,1.389,683300215.983
79,1.428,690530812.325
80,1.460,701369863.014
81,1.517,700647330.257
82,1.575,700149841.270
83,1.625,703737846.154
84,1.699,697709240.730
85,1.757,699060899.260
86,1.812,702048565.121
87,2.317,568410012.948
88,1.981,688008076.729
89,1.996,706381763.527
90,2.068,705029013.540
91,2.135,705921311.475
92,2.220,701520720.721
93,2.348,685142248.722
94,2.362,703288738.357
95,2.467,695074989.866
96,2.509,705249900.359
97,2.656,687253765.060
98,2.819,667748847.109
99,2.830,685723674.912
100,2.925,683760683.761
101,2.998,687325550.367
102,3.034,699543836.519
103,3.200,682954375.000
104,3.212,700413449.564
105,3.325,696315789.474
106,3.430,694469970.845
107,3.509,698229125.107
108,3.720,677264516.129
109,3.796,682312434.141
110,3.828,695402298.851
111,4.042,676710044.532
112,4.033,696716092.239
113,4.093,705055949.182
114,4.207,704323270.739
115,4.321,703945845.869
116,4.429,704852562.655
117,4.529,707270037.536
118,4.669,703804669.094
119,5.123,657879757.954
120,5.025,687761194.030
121,5.205,680715081.652
122,5.500,660308363.636
123,6.137,606441909.728
124,7.183,530871223.723
125,7.602,513845040.779
126,8.491,471175597.692
127,6.209,659810919.633
128,7.244,579003865.268
129,6.761,635021150.717
130,6.369,689904223.583
131,6.488,692999691.739
132,6.640,692761445.783
133,8.640,544591898.148
134,7.036,683940875.497
135,7.053,697681837.516
136,9.367,537088929.220
137,8.765,586732002.282
138,9.452,556088023.699
139,8.030,668896388.543
140,8.336,658349328.215
141,8.362,670466634.776
142,10.280,557059922.179
143,8.792,665197224.750
144,8.682,687856254.319
145,8.944,681713998.211
146,9.368,664418445.773
147,9.412,674994262.643
148,9.504,682195286.195
149,9.688,682896160.198
150,9.918,680580762.250
151,10.225,673437848.411
152,10.595,662917980.179
153,10.567,677879625.248
154,10.830,674471652.816
155,11.553,644659395.828
156,11.934,636235294.118
157,12.053,642146021.737
158,12.405,635922934.301
159,11.744,684550238.420
160,11.961,684892567.511
161,12.245,681630216.415
162,12.527,678778318.831
163,12.745,679599372.303
164,13.047,676162182.877
165,13.245,678312570.781
166,13.378,683853490.806
167,13.930,668695333.812
168,14.085,673288178.914
169,14.160,681752683.616
170,14.343,685072857.840
171,14.636,683275621.755
172,14.955,680501237.044
173,15.355,674401432.758
174,15.559,677167427.213
175,15.646,685079253.483
176,16.034,680026942.747
177,16.343,678606498.195
178,16.761,672961279.160
179,17.114,670251139.418
180,17.644,661074586.262
181,19.370,612260299.432
182,18.237,661135932.445
183,19.506,628369424.792
184,18.243,682947322.261
185,18.592,681112844.234
186,19.020,676641009.464
187,21.647,604167136.324
188,22.057,602500068.006
189,22.383,603249698.432
190,22.846,600455221.921
191,20.805,669826580.149
192,20.983,674630701.044
193,21.325,674237467.761
194,21.711,672597669.384
195,22.542,657871972.318
196,22.602,666271657.375
197,22.850,669179256.018
198,23.608,657606912.911
199,23.775,662931566.772
200,25.980,615858352.579
201,26.383,615593450.328
202,25.134,655877138.537
203,24.717,676896629.850
204,25.351,669769555.442
205,27.859,618480562.834
206,26.718,654376525.189
207,26.640,665896621.622
208,27.237,660785842.787
209,27.841,655819043.856
210,28.236,655971100.722
211,28.601,656895283.382
212,28.861,660277052.077
213,29.234,661120407.744
214,29.643,661224842.290
215,30.266,656735280.513
216,30.708,656356389.215
217,31.398,650889419.708
218,31.849,650584445.352
219,33.202,632700379.495
220,33.967,626961462.596
221,34.414,627294763.759
222,35.021,624827846.149
223,34.483,643190383.667
224,35.606,631321912.037
225,36.544,623392348.949
226,39.139,589855438.310
227,36.297,644520649.089
228,36.904,642334272.708
229,37.380,642535527.020
230,38.376,634094225.558
231,38.624,638276253.107
232,39.014,640137796.688
233,39.806,635549263.930
234,40.668,630122159.929
235,40.461,641500457.230
236,41.560,632543599.615
237,41.799,636955573.100
238,42.778,630289962.130
239,43.219,631755431.639
240,43.671,633097478.876
241,44.492,629215184.752
242,45.408,624228682.171
243,45.422,631804279.864
244,46.084,630448051.384
245,47.038,625287001.998
246,47.118,631900165.542
247,48.041,627348431.548
248,50.275,606782376.927
249,49.928,618420485.499
250,50.345,620717052.339
251,54.343,581979316.563
252,54.844,583582816.717
253,55.463,583966860.790
254,58.088,564215121.884
255,53.409,620920631.354
256,54.068,620596878.005
257,54.712,620507128.235
258,55.533,618497542.002
259,55.975,620776382.314
260,56.823,618622740.792
261,57.869,614476870.172
262,58.576,614064736.411
263,59.424,612259255.520
264,59.675,616665069.124
265,62.323,597199268.328
266,61.138,615692237.234
267,61.728,616710828.149
268,62.321,617731807.898
269,64.314,605314830.364
270,65.384,602073901.872
271,67.127,592980797.593
272,67.429,596884070.652
273,66.819,609000942.846
274,67.506,609451722.810
275,67.976,611888754.855
276,68.819,611010796.437
277,69.912,608019596.064
278,70.586,608759584.053
279,71.669,606053914.524
280,72.794,603126631.316
281,73.374,604793005.697
282,74.102,605267550.134
283,76.337,593819170.258
284,80.097,571964093.537
285,79.866,579699121.028
286,80.706,579725324.016
287,78.296,603859788.495
288,79.220,603076798.788
289,80.370,600661167.102
290,81.589,597850200.395
291,81.900,601762417.582
292,85.190,584507289.588
293,83.789,600407141.749
294,84.301,602891638.296
295,85.921,597580917.354
296,89.597,578910811.746
297,87.814,596671897.420
298,88.025,601274456.120
299,89.182,599468480.187
300,90.185,598769196.651
301,91.233,597829754.584
302,92.169,597676181.796
303,93.420,595549710.983
304,95.806,586486524.852
305,95.821,592200561.464
306,96.714,592522613.065
307,98.787,585794547.866
308,97.974,596446240.839
309,99.266,594435738.319
310,101.782,585388379.085
311,103.188,583018005.970
312,102.287,593845317.587
313,104.126,588984441.926
314,104.990,589754148.014
315,105.909,590240206.215
316,109.186,577995274.119
317,113.342,562104303.789
318,109.345,588182943.893
