N,Time(ms),FLOPS
1,0.000,inf
2,0.000,inf
3,0.001,54000000.000
4,0.002,64000000.000
5,0.001,250000000.000
6,0.001,432000000.000
7,0.002,343000000.000
8,0.003,341333333.333
9,0.005,291600000.000
10,0.004,500000000.000
11,0.005,532400000.000
12,0.009,384000000.000
13,0.010,439400000.000
14,0.008,686000000.000
15,0.015,450000000.000
16,0.012,682666666.667
17,0.015,655066666.667
18,0.018,648000000.000
19,0.021,653238095.238
20,0.026,615384615.385
21,0.029,638689655.172
22,0.033,645333333.333
23,0.037,657675675.676
24,0.043,642976744.186
25,0.047,664893617.021
26,0.053,663245283.019
27,0.059,667220338.983
28,0.066,665212121.212
29,0.074,659162162.162
30,0.082,658536585.366
31,0.099,601838383.838
32,0.099,661979797.980
33,0.108,665500000.000
34,0.116,677655172.414
35,0.145,591379310.345
36,0.140,666514285.714
37,0.150,675373333.333
38,0.163,673276073.620
39,0.176,674079545.455
40,0.190,673684210.526
41,0.204,675696078.431
42,0.313,473405750.799
43,0.297,535400673.401
44,0.317,537438485.804
45,0.300,607500000.000
46,0.294,662149659.864
47,0.308,674175324.675
48,0.329,672291793.313
49,0.350,672280000.000
50,0.377,663129973.475
51,0.396,669954545.455
52,0.424,663245283.019
53,0.466,638957081.545
54,0.477,660226415.094
55,0.496,670866935.484
56,0.533,658971857.411
57,0.551,672206896.552
58,0.589,662519524.618
59,0.611,672271685.761
60,0.642,672897196.262
61,0.673,674534918.276
62,0.709,672293370.945
63,0.769,650317295.189
64,0.839,624896305.125
65,0.827,664147521.161
66,0.857,670935822.637
67,0.901,667620421.754
68,0.954,659186582.809
69,1.001,656361638.362
70,1.091,628780934.922
71,1.088,657924632.353
72,1.137,656548812.665
73,1.162,669564543.890
74,1.213,668135201.979
75,1.280,659179687.500
76,1.353,648892830.746
77,1.365,668912820.513
78,1.451,654103376.981
79,1.467,672173142.468
80,1.556,658097686.375
81,1.595,666383699.060
82,1.645,670356231.003
83,1.712,667975467.290
84,1.789,662609278.927
85,1.856,661772629.310
86,1.918,663249217.935
87,2.002,657845154.845
88,2.108,646557874.763
89,2.146,657007455.732
90,2.167,672819566.221
91,2.247,670735202.492
92,2.331,668114972.115
93,2.405,668903950.104
94,2.504,663405750.799
95,2.596,660535439.137
96,2.705,654148613.678
97,2.787,654950125.583
98,3.376,557578199.052
99,3.030,640461386.139
100,3.537,565450947.130
101,4.453,462744666.517
102,4.659,455551835.158
103,3.858,566473302.229
104,3.425,656854890.511
105,3.636,636757425.743
106,3.573,666675622.726
107,3.862,634408596.582
108,3.852,654056074.766
109,4.040,641103465.347
110,4.117,646587320.865
111,4.364,626778643.446
112,4.241,662545626.032
113,4.291,672522488.930
114,4.482,661108433.735
115,4.695,647870074.547
116,4.668,668764353.042
117,4.792,668452838.063
118,5.001,657081383.723
119,5.013,672315579.493
120,5.225,661435406.699
121,5.373,659430857.994
122,5.443,667223222.488
123,5.611,663292461.237
124,5.812,656099105.299
125,5.952,656292002.688
126,6.107,655109218.929
127,6.169,664089155.455
128,6.319,663760721.633
129,6.830,628605856.515
130,6.601,665656718.679
131,6.923,649455727.286
132,6.881,668498183.404
133,7.066,665903481.461
134,8.234,584431382.074
135,7.439,661480037.639
136,7.581,663621158.159
137,7.789,660252407.241
138,7.902,665166287.016
139,8.117,661726992.731
140,8.857,619622897.144
141,8.671,646573866.913
142,8.777,652452546.428
143,8.813,663612163.849
144,8.994,663994663.109
145,9.250,659162162.162
146,9.396,662438484.461
147,9.678,656442033.478
148,10.093,642384226.692
149,10.332,640330816.880
150,10.880,620404411.765
151,10.437,659758742.934
152,10.779,651601818.350
153,10.826,661662109.736
154,11.030,662241885.766
155,11.301,659034598.708
156,11.503,660074067.635
157,11.841,653642935.563
158,12.075,653302194.617
159,12.101,664354846.707
160,12.377,661872828.634
161,13.341,625632411.363
162,13.044,651874885.005
163,13.098,661283707.436
164,13.561,650533736.450
165,13.557,662701925.205
166,13.855,660309779.863
167,14.079,661618438.810
168,14.338,661407727.717
169,14.631,659805754.904
170,15.104,650556144.068
171,15.160,659658443.272
172,15.394,661094972.067
173,15.647,661815939.158
174,15.946,660732973.787
175,16.335,656183042.547
176,16.591,657196793.442
177,16.762,661643359.981
178,17.257,653619053.138
179,17.363,660639175.258
180,17.729,657905127.193
181,18.121,654460680.978
182,18.359,656742524.103
183,18.749,653740146.141
184,18.868,660324782.701
185,19.231,658481098.227
186,19.757,651400111.353
187,21.978,595068068.068
188,20.233,656815301.735
189,20.446,660399980.436
190,20.830,658569371.099
191,21.190,657656536.102
192,24.590,575672061.814
193,22.222,647021600.216
194,22.388,652258710.023
195,22.327,664207013.929
196,23.011,654429272.956
197,23.149,660535919.478
198,23.715,654639848.197
