N,Time(ms),FLOPS
1,0.000,inf
2,0.000,inf
3,0.000,inf
4,0.000,inf
5,0.001,250000000.000
6,0.001,432000000.000
7,0.001,686000000.000
8,0.002,512000000.000
9,0.002,729000000.000
10,0.004,500000000.000
11,0.005,532400000.000
12,0.005,691200000.000
13,0.007,627714285.714
14,0.008,686000000.000
15,0.010,675000000.000
16,0.012,682666666.667
17,0.015,655066666.667
18,0.018,648000000.000
19,0.020,685900000.000
20,0.024,666666666.667
21,0.027,686000000.000
22,0.031,686967741.935
23,0.036,675944444.444
24,0.040,691200000.000
25,0.045,694444444.444
26,0.053,663245283.019
27,0.058,678724137.931
28,0.064,686000000.000
29,0.071,687014084.507
30,0.085,635294117.647
31,0.088,677068181.818
32,0.095,689852631.579
33,0.104,691096153.846
34,0.115,683547826.087
35,0.125,686000000.000
36,0.134,696358208.955
37,0.145,698662068.966
38,0.158,694582278.481
39,0.170,697870588.235
40,0.182,703296703.297
41,0.198,696171717.172
42,0.215,689190697.674
43,0.227,700502202.643
44,0.243,701102880.658
45,0.259,703667953.668
46,0.292,666684931.507
47,0.297,699144781.145
48,0.315,702171428.571
49,0.333,706600600.601
50,0.364,686813186.813
51,0.411,645503649.635
52,0.442,636235294.118
53,0.442,673651583.710
54,0.483,652024844.720
55,0.471,706475583.864
56,0.527,666474383.302
57,0.532,696214285.714
58,0.575,678650434.783
59,0.585,702150427.350
60,0.616,701298701.299
61,0.665,682649624.060
62,0.691,689806078.148
63,0.724,690737569.061
64,0.759,690761528.327
65,0.790,695253164.557
66,0.825,696960000.000
67,0.852,706016431.925
68,0.906,694110375.276
69,0.941,698212539.851
70,0.977,702149437.052
71,1.050,681735238.095
72,1.074,695061452.514
73,1.124,692201067.616
74,1.167,694471293.916
75,1.221,691031941.032
76,1.275,688589803.922
77,1.316,693819148.936
78,1.373,691262927.895
79,1.403,702835352.815
80,1.465,698976109.215
81,1.541,689735236.859
82,1.627,677772587.585
83,1.659,689315250.151
84,1.702,696479435.958
85,1.766,695498301.246
86,1.836,692871459.695
87,1.911,689171114.600
88,1.985,686621662.469
89,2.012,700764413.519
90,2.123,686764013.189
91,2.179,691666819.642
92,2.287,680968954.963
93,2.326,691622527.945
94,2.408,689853820.598
95,2.443,701903397.462
96,2.640,670254545.455
97,2.992,610075534.759
98,2.748,685001455.604
99,3.325,583638496.241
100,3.035,658978583.196
101,3.781,544988627.347
102,4.782,443834378.921
103,4.459,490122000.449
104,3.318,678037371.911
105,4.362,530777166.437
106,5.450,437070091.743
107,5.537,442493407.983
108,3.752,671488272.921
109,3.775,686108079.470
110,4.307,618063617.367
111,3.977,687770178.527
112,4.193,670130217.028
113,4.168,692369001.919
114,4.276,692957904.584
115,4.511,674296164.930
116,4.491,695121799.154
117,4.595,697111207.835
118,4.669,703804669.094
119,4.978,677042587.384
120,5.067,682060390.764
121,5.256,674109969.559
122,5.334,680857892.763
123,6.115,608623712.183
124,6.374,598250392.218
125,6.414,609019332.710
126,6.522,613424103.036
127,6.056,676480515.192
128,6.101,687478118.341
129,6.405,670316627.635
130,6.460,680185758.514
131,6.478,694069465.885
132,6.733,683192633.299
133,6.926,679363846.376
134,7.130,674923983.170
135,7.139,689277209.693
136,7.577,663971492.675
137,7.432,691967976.319
138,7.636,688337349.398
139,7.795,689061962.797
140,8.491,646331409.728
141,8.721,642866873.065
142,8.437,678745525.661
143,9.073,644595392.924
144,11.190,533687935.657
145,9.804,621914524.684
146,9.137,681216154.099
147,9.357,678961846.746
148,9.576,677065998.329
149,9.953,664713955.591
150,9.985,676014021.032
151,10.293,668988827.358
152,10.415,674375036.006
153,10.632,673735327.314
154,10.898,670263167.554
155,11.685,637376979.033
156,11.898,638160363.086
157,12.000,644982166.667
158,12.323,640154507.831
159,11.854,678197907.879
160,12.232,669718770.438
161,12.879,648075316.407
162,12.895,659407212.098
163,12.763,678640915.145
164,13.033,676888513.773
165,13.289,676066671.683
166,13.655,669981105.822
167,13.849,672606397.574
168,15.160,625545118.734
169,17.689,545741308.158
170,14.886,660083299.745
171,15.435,647905539.359
172,16.894,602397064.046
173,15.785,656030028.508
174,17.623,597857799.467
175,18.221,588263542.067
176,16.467,662145624.582
177,16.473,673251138.226
178,16.762,672921131.130
179,17.382,659917040.617
180,17.550,664615384.615
181,17.743,668403426.703
182,18.102,666066511.988
183,18.130,676060341.975
184,18.504,673314310.419
185,19.028,665506096.279
186,19.069,674902302.166
187,21.822,599322060.306
188,26.633,498980362.708
189,22.853,590843127.817
190,23.109,593621532.736
191,20.862,667996452.881
192,21.493,658622621.319
193,21.592,665900055.576
194,23.055,633388332.249
195,22.552,657580258.957
196,22.998,654799199.930
197,23.634,646980875.011
198,26.119,594386615.108
